Student_ID,Test_1_Grade,Test_2_Grade,Test_3_Grade,Test_4_Grade,Test_5_Grade,Test_6_Grade,Final_Grade,Tutoring
401,0.84,0.81,0.76,0.79,0.87,0.74,0.81,Test_3
402,0.71,0.85,0.78,0.85,0.85,0.93,0.83,Test_2
403,0.84,0.78,0.76,0.79,0.79,0.88,0.81,Test_4
404,0.69,0.69,0.9,0.87,0.84,0.77,0.8,Test_3
405,0.5,0.48,0.63,0.35,0.47,0.41,0.48,Never
406,0.39,0.41,0.48,0.6,0.37,0.4,0.45,Never
407,0.7,0.87,0.71,0.94,0.99,0.86,0.85,Test_2
408,0.69,0.57,0.75,0.56,0.7,0.69,0.66,Test_5
409,0.7,0.73,0.82,0.89,0.92,0.76,0.81,Test_2
410,0.91,0.87,0.93,0.89,0.92,0.87,0.9,Never
411,0.73,0.6,0.66,0.77,0.74,0.75,0.71,Test_4
412,0.85,0.79,0.76,0.81,0.85,0.88,0.83,Test_5
413,0.89,0.8,0.89,0.76,0.79,0.82,0.83,Test_2
414,0.79,0.6,0.71,0.84,0.95,0.87,0.8,Test_4
415,0.76,0.81,0.83,0.7,0.84,0.88,0.81,Test_2
416,0.64,0.86,0.93,0.92,0.98,0.83,0.86,Test_2
417,0.66,0.86,0.82,0.84,0.84,0.85,0.82,Test_3
418,0.9,0.92,0.86,0.96,0.8,0.88,0.89,Never
419,0.72,0.57,0.88,0.86,0.87,0.73,0.78,Test_3
420,0.65,0.68,0.7,0.43,0.68,0.48,0.61,Never
421,0.87,0.77,0.91,0.94,0.59,0.84,0.82,Never
422,0.75,0.73,0.78,0.82,0.84,0.78,0.79,Test_3
423,0.57,0.82,0.83,0.79,0.72,0.89,0.77,Test_3
424,0.79,0.66,0.82,0.98,0.86,0.91,0.84,Test_3
425,0.53,0.49,0.77,0.59,0.69,0.48,0.6,Never
426,0.71,0.84,0.83,0.69,0.9,0.85,0.81,Test_3
427,0.89,0.87,0.92,0.83,0.94,0.85,0.89,Never
428,0.69,0.66,0.98,0.76,0.93,0.7,0.79,Test_4
429,0.81,0.85,0.68,0.84,0.74,0.8,0.79,Test_2
430,0.78,0.65,0.9,0.74,0.82,0.73,0.77,Test_3
431,0.84,0.85,0.8,1.0,0.65,0.8,0.83,Never
432,0.81,0.59,0.75,0.77,0.77,0.78,0.75,Test_3
433,0.79,0.77,0.88,0.88,0.91,0.88,0.86,Test_3
434,0.72,0.73,0.7,0.78,0.73,0.78,0.74,Test_3
435,0.83,0.64,0.93,0.78,0.94,0.87,0.84,Test_3
436,0.83,0.7,0.52,0.87,0.69,0.87,0.75,Test_4
437,0.93,0.88,0.97,0.88,0.89,0.82,0.9,Never
438,0.91,0.72,0.86,0.71,0.78,0.82,0.8,Test_5
439,0.66,0.82,0.8,0.65,0.75,0.74,0.74,Test_2
440,0.8,0.8,0.74,0.72,0.73,0.67,0.75,Test_2
441,0.61,0.58,0.77,0.82,0.81,0.73,0.73,Test_3
442,0.78,0.78,0.74,0.86,0.73,0.79,0.78,Test_3
443,0.58,0.64,0.68,0.54,0.66,0.61,0.62,Test_5
444,0.87,0.83,0.82,0.85,0.91,0.87,0.86,Never
445,0.94,0.87,0.81,0.84,0.78,0.8,0.84,Test_4
446,0.67,0.89,0.78,0.77,0.84,0.61,0.76,Test_2
447,0.77,0.87,0.75,0.68,0.79,0.87,0.79,Test_2
448,0.8,0.83,0.79,0.82,0.65,0.86,0.8,Test_6
449,0.85,0.99,0.91,0.87,0.89,0.93,0.91,Test_6
450,0.6,0.57,0.85,0.71,0.8,0.63,0.7,Test_3
451,0.77,0.8,0.8,0.86,0.79,0.84,0.81,Test_2
452,1.0,0.93,0.91,0.93,0.84,0.94,0.93,Never
453,0.54,0.49,0.48,0.72,0.62,0.54,0.57,Never
454,0.72,0.84,0.76,0.82,0.8,0.94,0.82,Test_2
455,0.71,0.87,0.85,0.95,0.8,0.8,0.83,Test_2
456,0.7,0.92,0.85,0.97,0.89,0.88,0.87,Never
457,0.56,0.63,0.54,0.53,0.78,0.79,0.64,Test_4
458,0.53,0.76,0.61,0.67,0.7,0.79,0.68,Test_6
459,0.66,0.73,0.75,0.71,0.66,0.66,0.7,Test_2
460,0.94,0.9,0.77,0.85,0.85,0.82,0.86,Never
461,0.96,0.91,0.93,0.89,0.98,0.88,0.93,Never
462,0.55,0.7,0.91,0.88,0.62,0.89,0.76,Test_2
463,0.75,0.93,0.83,0.75,0.81,0.79,0.81,Test_6
464,0.9,0.89,0.9,0.98,0.94,0.94,0.93,Test_3
465,0.66,0.87,0.79,0.77,0.78,0.74,0.77,Test_2
466,0.7,0.7,1.0,0.87,0.78,0.9,0.83,Test_4
467,0.66,1.0,0.84,0.97,0.79,0.88,0.86,Test_3
468,0.81,0.77,0.76,0.82,0.86,0.74,0.8,Test_3
469,0.89,0.92,0.92,0.81,0.9,0.91,0.9,Never
470,0.57,0.74,0.69,0.57,0.66,0.8,0.68,Test_6
471,0.91,0.74,0.88,0.86,0.71,0.87,0.83,Never
472,0.59,0.72,0.69,0.68,0.77,0.65,0.69,Test_2
473,0.45,0.49,0.69,0.68,0.69,0.66,0.61,Never
474,0.78,0.81,0.72,0.8,0.57,0.83,0.76,Test_2
475,0.95,0.93,0.9,0.92,0.87,0.89,0.91,Never
476,0.76,0.85,0.62,0.97,0.99,0.82,0.84,Test_4
477,0.57,1.0,0.87,0.86,1.0,0.79,0.85,Test_3
478,0.62,0.8,0.7,0.79,0.68,0.67,0.72,Test_2
479,0.73,0.78,0.82,0.85,0.86,0.79,0.81,Test_2
480,0.94,0.97,0.85,0.99,0.91,0.87,0.93,Never
481,0.69,0.9,0.81,0.84,0.74,0.83,0.81,Test_2
482,0.79,0.82,0.87,0.82,0.98,0.87,0.86,Test_2
483,0.57,0.82,0.82,0.69,0.9,0.72,0.76,Test_2
484,0.62,0.65,0.78,0.7,0.77,0.84,0.73,Test_3
485,0.87,0.94,0.92,0.89,0.91,0.97,0.92,Never
486,0.83,0.77,0.84,0.93,0.82,0.81,0.84,Test_2
487,0.9,0.95,1.0,0.91,0.85,0.84,0.91,Never
488,0.75,0.95,0.75,0.89,0.76,0.89,0.84,Never
489,0.73,0.87,0.75,0.84,0.93,0.78,0.82,Test_3
490,0.94,0.77,0.85,0.82,0.72,0.81,0.82,Never
491,0.54,0.53,0.26,0.3,0.49,0.71,0.48,Never
492,0.93,0.8,0.65,0.77,0.86,0.85,0.81,Test_6
493,0.86,0.59,0.66,0.66,0.72,0.82,0.72,Test_5
494,0.63,0.8,0.81,0.77,0.82,0.85,0.78,Test_2
495,0.78,0.89,0.81,0.81,0.9,0.96,0.86,Never
496,0.97,0.8,0.64,0.75,0.91,0.72,0.8,Never
497,0.53,0.5,0.74,0.81,0.83,0.63,0.68,Test_3
498,0.71,0.71,0.81,0.88,0.84,0.86,0.81,Test_3
499,0.77,0.61,0.92,0.95,0.95,0.99,0.87,Test_3
